Environmental Brain Cube Free Scan Log

=== RUN1 START ===
runLabel,millis,elapsedSec,lightMin,lightMax,lightState,bmeTempMin,bmeTempMax,bmeHumMin,bmeHumMax,bmePresMin,bmePresMax,dsTempMin,dsTempMax,battMin,battMax,solarMin,solarMax,axMin,axMax,ayMin,ayMax,azMin,azMax,gxMin,gxMax,gyMin,gyMax,gzMin,gzMax
RUN1,9399,1.53,1945,1945,NORMAL,23.84,23.84,46.34,46.34,1007.30,1007.30,23.62,23.62,6.56,6.56,1.92,1.92,0.299,0.299,-0.771,-0.771,8.962,8.962,0.93,0.93,0.82,0.82,-1.66,-1.66
RUN1,11399,3.53,1905,1942,NORMAL,23.84,23.85,46.25,46.31,1007.32,1007.34,22.56,22.56,6.55,6.56,2.18,2.21,0.251,0.412,-0.859,-0.735,8.857,9.022,0.47,0.89,0.87,1.20,-1.70,-1.37
RUN1,13402,5.53,1922,1950,NORMAL,23.84,23.85,46.06,46.13,1007.32,1007.33,22.50,22.50,6.55,6.56,2.15,2.21,0.268,0.431,-0.855,-0.749,8.852,9.087,0.60,0.88,0.79,1.14,-1.76,-1.40
RUN1,15432,7.56,1904,1938,NORMAL,23.85,23.85,45.81,45.99,1007.32,1007.34,22.56,22.56,6.55,6.56,2.15,2.22,0.268,0.385,-0.857,-0.752,8.850,9.022,0.50,0.86,0.86,1.19,-1.75,-1.50
RUN1,17462,9.59,1898,1935,NORMAL,23.85,23.85,45.57,45.71,1007.30,1007.32,22.56,22.56,6.55,6.56,2.15,2.21,0.280,0.419,-0.883,-0.766,8.778,9.017,0.56,0.98,0.89,1.22,-1.73,-1.45
RUN1,19492,11.62,1920,1952,NORMAL,23.85,23.85,45.48,45.54,1007.32,1007.34,22.56,22.56,6.55,6.56,2.15,2.21,0.251,0.390,-0.871,-0.718,8.840,9.029,0.50,0.99,0.84,1.17,-1.69,-1.41
RUN1,21524,13.65,1934,1968,NORMAL,23.85,23.85,45.49,45.75,1007.31,1007.33,22.56,22.56,6.55,6.56,2.16,2.22,0.263,0.436,-0.847,-0.742,8.855,9.051,0.53,1.02,0.90,1.23,-1.76,-1.40
RUN1,23527,15.65,1909,1964,NORMAL,23.85,23.86,45.83,46.05,1007.29,1007.34,22.56,22.56,6.55,6.55,2.15,2.21,0.263,0.414,-0.869,-0.725,8.819,9.013,0.57,0.98,0.87,1.28,-1.76,-1.38
RUN1,25557,17.68,1875,1958,NORMAL,23.85,23.85,45.91,46.00,1007.29,1007.31,22.50,22.56,6.55,6.56,2.15,2.22,0.261,0.378,-0.850,-0.732,8.831,9.080,0.50,0.86,0.74,1.25,-1.73,-1.40
RUN1,27587,19.72,1856,1891,NORMAL,23.85,23.86,46.06,46.15,1007.28,1007.31,22.56,22.56,6.55,6.55,2.16,2.19,0.259,0.366,-0.833,-0.728,8.819,9.017,0.53,0.83,0.84,1.22,-1.73,-1.34
