Environmental Brain Cube MODES Log

=== RUN1 START ===
runLabel,millis,elapsedSec,lightMin,lightMax,lightState,bmeTempMin,bmeTempMax,bmeHumMin,bmeHumMax,bmePresMin,bmePresMax,dsTempMin,dsTempMax,battMin,battMax,solarMin,solarMax,axMin,axMax,ayMin,ayMax,azMin,azMax,gxMin,gxMax,gyMin,gyMax,gzMin,gzMax
RUN1,9424,1.55,843,843,DARK,21.86,21.86,45.76,45.76,1007.97,1007.97,20.56,20.56,7.43,7.43,0.59,0.59,0.201,0.201,-0.804,-0.804,8.886,8.886,1.19,1.19,1.11,1.11,-1.69,-1.69
RUN1,11432,3.56,834,862,DARK,21.86,21.86,45.77,45.77,1007.96,1008.00,21.00,21.00,7.41,7.42,0.69,0.73,0.108,0.223,-0.821,-0.721,8.847,9.094,0.90,1.40,0.89,1.14,-1.79,-1.50
RUN1,13462,5.59,853,862,DARK,21.86,21.87,45.77,45.80,1007.98,1008.02,21.00,21.00,7.42,7.43,0.68,0.71,0.136,0.232,-0.819,-0.730,8.874,9.034,0.84,1.24,0.86,1.21,-1.82,-1.48
RUN1,15492,7.62,849,859,DARK,21.87,21.87,45.75,45.79,1007.98,1008.00,21.00,21.00,7.42,7.43,0.68,0.71,0.134,0.244,-0.831,-0.735,8.797,9.017,0.66,1.29,0.81,1.21,-1.74,-1.34
RUN1,17522,9.65,854,866,DARK,21.87,21.88,45.75,45.76,1007.97,1008.01,21.00,21.00,7.42,7.43,0.68,0.71,0.141,0.263,-0.840,-0.728,8.838,9.013,0.81,1.21,0.92,1.24,-1.79,-1.46
RUN1,19552,11.68,829,858,DARK,21.88,21.88,45.60,45.75,1007.97,1008.01,21.00,21.06,7.42,7.43,0.69,0.72,0.127,0.239,-0.835,-0.744,8.843,9.017,0.82,1.18,0.84,1.33,-1.82,-1.44
RUN1,21582,13.71,785,816,DARK,21.89,21.89,45.66,45.73,1007.97,1007.98,21.00,21.00,7.42,7.43,0.73,0.77,0.110,0.225,-0.828,-0.716,8.821,9.020,0.89,1.20,0.91,1.29,-1.89,-1.50
RUN1,23612,15.74,784,796,DARK,21.89,21.90,45.73,45.79,1007.98,1007.99,21.00,21.06,7.42,7.44,0.76,0.79,0.127,0.261,-0.797,-0.735,8.828,9.025,0.89,1.22,0.94,1.22,-1.82,-1.44
RUN1,25644,17.77,774,784,DARK,21.90,21.91,45.52,45.74,1007.94,1007.98,21.00,21.00,7.43,7.43,0.75,0.78,0.136,0.211,-0.843,-0.735,8.823,8.993,0.89,1.18,0.92,1.23,-1.82,-1.52
RUN1,27674,19.80,781,785,DARK,21.91,21.92,45.67,45.73,1007.97,1008.00,21.06,21.06,7.42,7.43,0.74,0.77,0.122,0.239,-0.828,-0.718,8.833,9.017,0.81,1.31,0.92,1.30,-1.84,-1.44
RUN1,29704,21.83,770,788,DARK,21.92,21.92,45.71,45.81,1007.98,1008.00,21.06,21.06,7.43,7.44,0.75,0.79,0.084,0.230,-0.850,-0.694,8.823,9.015,0.75,1.32,0.95,1.33,-1.86,-1.49
RUN1,31736,23.86,511,784,DARK,21.92,21.93,45.70,45.72,1007.96,1007.97,21.06,21.06,7.43,7.44,0.22,0.78,-0.807,0.682,-0.931,-0.247,8.491,9.544,0.68,4.07,0.57,6.27,-1.80,13.45
RUN1,33766,25.89,509,593,DARK,21.93,21.94,45.69,45.70,1007.95,1007.99,21.06,21.06,7.43,7.44,0.31,0.77,-1.592,0.438,-1.271,2.262,8.654,9.635,-3.03,1.79,-3.70,6.03,-4.20,15.28

=== RUN2 START ===
runLabel,millis,elapsedSec,lightMin,lightMax,lightState,bmeTempMin,bmeTempMax,bmeHumMin,bmeHumMax,bmePresMin,bmePresMax,dsTempMin,dsTempMax,battMin,battMax,solarMin,solarMax,axMin,axMax,ayMin,ayMax,azMin,azMax,gxMin,gxMax,gyMin,gyMax,gzMin,gzMax
RUN2,10126,1.55,658,658,DARK,22.12,22.12,44.92,44.92,1007.98,1007.98,NA,NA,6.84,6.84,0.28,0.28,0.196,0.196,-0.840,-0.840,8.967,8.967,1.25,1.25,1.02,1.02,-1.40,-1.40
RUN2,12126,3.55,663,752,DARK,22.12,22.13,44.88,44.90,1007.95,1007.97,21.19,21.19,6.57,6.82,0.37,0.49,0.160,0.582,-0.883,-0.721,8.826,9.099,0.59,1.44,-0.08,1.79,-2.57,-1.47
RUN2,14130,5.55,752,787,DARK,22.13,22.14,44.84,44.88,1007.96,1007.97,21.25,21.25,6.55,6.80,0.44,0.52,-0.196,0.354,-1.151,-0.567,8.615,9.329,-5.22,8.37,-4.61,7.95,-5.09,4.27
RUN2,16160,7.58,752,1141,NORMAL,22.15,22.16,44.74,45.00,1007.95,1008.00,21.19,21.25,6.54,6.79,0.44,0.87,-1.034,0.488,-1.046,0.065,7.962,9.530,-10.82,37.34,-32.41,34.24,-69.96,5.58
RUN2,18163,9.59,1187,1308,NORMAL,22.16,22.16,44.67,44.99,1007.94,1007.95,21.25,21.25,6.53,6.78,0.88,1.00,-2.928,0.321,-1.099,0.519,7.572,10.288,-28.63,10.80,-40.88,54.40,-36.66,80.32
RUN2,20169,11.59,1327,1535,NORMAL,22.15,22.16,44.68,44.72,1007.93,1008.01,21.19,21.25,6.52,6.77,1.03,1.42,-3.983,0.285,-1.151,0.524,6.959,10.499,-19.49,22.96,-29.15,30.02,-14.72,45.20
RUN2,22199,13.62,1520,1651,NORMAL,22.16,22.17,44.75,44.85,1007.98,1008.00,21.19,21.25,6.51,6.76,1.38,1.52,-1.163,-0.318,-1.637,0.005,8.199,9.305,-11.17,17.75,-12.75,11.75,-16.05,8.84
RUN2,24230,15.65,1665,2209,NORMAL,22.17,22.17,44.88,45.00,1007.99,1008.00,21.19,21.25,6.50,6.75,1.48,1.96,-1.441,1.759,-1.499,0.551,7.526,9.671,-14.78,30.27,-40.17,17.05,-53.05,23.68
RUN2,26260,17.68,1889,2270,NORMAL,22.17,22.18,44.98,45.04,1008.00,1008.03,21.25,21.25,6.49,6.74,1.47,2.06,0.687,2.224,-1.987,-0.665,8.184,9.355,-16.79,16.29,-8.81,8.40,-19.77,3.73
RUN2,28290,19.71,1958,2032,NORMAL,22.18,22.19,45.05,45.16,1007.99,1008.03,21.19,21.25,6.49,6.73,1.86,1.92,2.116,2.738,-2.042,-1.429,8.405,8.876,-7.02,7.36,-1.66,7.15,-14.34,5.88
RUN2,30321,21.74,1983,2074,NORMAL,22.18,22.19,45.01,45.13,1008.00,1008.03,21.19,21.25,6.48,6.73,1.86,1.97,2.166,2.592,-2.147,-1.659,8.376,8.780,-3.02,7.67,-1.97,3.46,-5.94,7.44
RUN2,32353,23.78,2046,2550,NORMAL,22.19,22.19,45.07,45.34,1007.98,1008.05,21.19,21.19,6.48,6.72,1.76,2.41,0.840,2.408,-2.183,0.986,8.309,9.242,-1.73,46.16,-9.34,13.77,-9.73,22.71
RUN2,34385,25.81,1681,2604,NORMAL,22.19,22.19,45.60,45.90,1008.01,1008.03,21.19,21.25,6.47,6.72,1.88,2.60,-0.730,1.970,-0.055,2.784,7.203,9.544,-37.82,11.90,-20.60,32.90,-19.39,20.15
RUN2,36389,27.81,1586,2486,NORMAL,22.19,22.19,45.68,45.71,1008.02,1008.04,21.19,21.25,6.46,6.71,1.25,2.39,-1.106,-0.268,-0.103,0.811,8.460,9.374,-10.63,3.54,-15.01,10.66,-3.47,8.98
RUN2,38419,29.84,1580,2489,NORMAL,22.19,22.20,45.39,45.62,1008.01,1008.04,21.19,21.25,6.46,6.71,1.17,2.16,-0.651,-0.201,0.026,0.606,8.735,9.266,0.55,2.41,0.11,1.72,-2.56,3.39
RUN2,40450,31.87,1583,1626,NORMAL,22.18,22.19,45.20,45.27,1008.01,1008.04,21.12,21.19,6.45,6.71,2.07,2.30,-0.910,-0.223,-0.247,0.302,8.563,9.099,0.35,2.26,-1.58,1.59,-1.92,-0.02
RUN2,42482,33.90,1621,1645,NORMAL,22.19,22.19,45.11,45.18,1008.02,1008.05,21.00,21.06,6.45,6.70,2.29,2.32,-0.723,-0.259,-0.141,0.481,8.656,9.063,0.16,2.47,-1.49,2.15,-2.26,1.42
RUN2,44514,35.94,1619,1653,NORMAL,22.19,22.19,45.04,45.08,1008.00,1008.04,20.94,20.94,6.45,6.69,2.29,2.33,-0.665,-0.273,0.043,0.215,8.823,9.173,0.76,2.18,0.34,2.11,-2.02,-1.35
RUN2,46544,37.97,1587,1675,NORMAL,22.19,22.20,44.99,45.01,1008.01,1008.04,20.81,20.87,6.46,6.69,2.07,2.34,-0.500,0.388,-1.388,0.541,7.356,9.853,-37.69,2.05,-5.77,11.69,-42.95,2.31
RUN2,48574,40.00,1627,1670,NORMAL,22.20,22.20,44.93,45.01,1007.98,1008.02,20.69,20.69,6.44,6.69,2.11,2.33,-0.814,-0.316,-0.433,0.656,8.539,9.238,-1.63,3.44,-1.16,5.55,-2.52,2.17
RUN2,50604,42.03,1607,1672,NORMAL,22.20,22.20,45.06,45.19,1008.00,1008.02,20.56,20.56,6.44,6.69,1.63,2.27,-0.759,-0.079,-0.323,0.072,8.766,9.333,0.22,5.61,-0.79,12.12,-3.31,13.04
RUN2,52634,44.06,1633,1698,NORMAL,22.20,22.22,45.10,45.24,1008.00,1008.05,20.44,20.44,6.42,6.67,1.58,2.30,-0.838,-0.340,-0.316,0.103,8.759,9.022,0.31,1.93,0.39,2.73,-1.87,-1.37
RUN2,54664,46.09,1744,2549,NORMAL,22.21,22.21,45.10,45.29,1008.00,1008.04,20.31,20.37,6.42,6.67,1.47,2.39,-0.625,-0.488,-0.273,-0.144,8.785,8.986,0.66,1.33,0.94,1.25,-1.82,-1.41
RUN2,56694,48.12,2351,2785,NORMAL,22.21,22.21,45.02,45.10,1008.03,1008.05,20.19,20.25,6.42,6.67,1.92,2.62,-0.637,-0.488,-0.251,-0.148,8.771,9.003,0.95,1.22,0.89,1.21,-1.76,-1.52
RUN2,58724,50.15,2583,2773,NORMAL,22.21,22.21,44.97,45.17,1008.01,1008.05,20.12,20.19,6.41,6.67,1.47,1.76,-0.768,-0.261,-0.330,0.101,8.598,9.185,0.69,2.15,0.36,2.55,-1.87,-1.44
RUN2,60756,52.18,2006,2602,NORMAL,22.20,22.21,44.81,44.91,1008.01,1008.05,20.00,20.06,6.40,6.66,2.27,2.50,-0.586,0.292,-0.385,-0.129,8.704,8.991,0.81,2.37,0.94,1.63,-1.85,-1.08
RUN2,62787,54.21,2480,2528,NORMAL,22.19,22.20,44.81,44.84,1008.02,1008.06,19.94,19.94,6.41,6.66,2.30,2.40,-0.634,-0.395,-0.354,-0.091,8.723,9.020,0.71,1.53,0.66,2.15,-1.82,-1.30
RUN2,64817,56.24,2481,2519,NORMAL,22.18,22.18,44.86,44.92,1008.01,1008.03,19.81,19.87,6.40,6.65,2.30,2.34,-0.615,-0.426,-0.433,-0.026,8.685,8.965,0.39,2.12,0.60,3.42,-1.89,-1.00
RUN2,66847,58.27,2499,2544,NORMAL,22.17,22.17,44.93,44.95,1008.01,1008.04,19.69,19.75,6.40,6.65,2.31,2.42,-0.606,-0.524,-0.232,-0.120,8.795,9.022,0.80,1.21,0.90,1.30,-1.75,-1.40
RUN2,68877,60.30,2524,2559,NORMAL,22.16,22.17,44.93,44.95,1008.01,1008.05,19.62,19.69,6.41,6.64,2.39,2.43,-0.620,-0.479,-0.249,-0.129,8.811,9.001,0.90,1.40,1.02,1.31,-1.82,-1.46
RUN2,70907,62.33,2499,2551,NORMAL,22.16,22.17,44.94,44.94,1008.03,1008.07,19.56,19.56,6.39,6.64,2.30,2.39,-0.625,-0.460,-0.249,-0.105,8.797,8.998,0.87,1.16,0.95,1.30,-1.77,-1.41
RUN2,72937,64.36,2509,2533,NORMAL,22.16,22.17,44.70,44.93,1008.06,1008.08,19.44,19.50,6.39,6.64,2.32,2.37,-0.637,-0.484,-0.259,-0.139,8.821,9.005,0.67,1.33,0.81,1.21,-1.81,-1.41
RUN2,74967,66.39,2508,2519,NORMAL,22.14,22.15,44.62,44.74,1008.03,1008.05,19.37,19.44,6.39,6.64,2.34,2.35,-0.615,-0.457,-0.261,-0.120,8.828,9.065,0.71,1.24,0.91,1.27,-1.78,-1.44
RUN2,76997,68.42,2492,2535,NORMAL,22.13,22.14,44.54,44.61,1008.02,1008.06,19.31,19.37,6.39,6.63,2.32,2.35,-0.620,-0.524,-0.227,-0.091,8.852,8.998,0.82,1.16,0.73,1.21,-1.75,-1.43
RUN2,79027,70.45,2512,2533,NORMAL,22.11,22.13,44.31,44.48,1008.05,1008.08,19.25,19.31,6.39,6.63,2.32,2.35,-0.644,-0.452,-0.294,-0.117,8.819,8.984,0.80,1.35,0.88,1.21,-1.79,-1.31
RUN2,81058,72.48,2486,2529,NORMAL,22.10,22.11,44.01,44.27,1008.04,1008.05,19.19,19.25,6.39,6.63,2.32,2.36,-0.610,-0.476,-0.244,-0.127,8.833,9.010,0.85,1.22,0.90,1.31,-1.82,-1.45
