Environmental Brain Cube Suitability Log

=== RUN1 START ===
runLabel,millis,elapsedSec,lightMin,lightMax,lightState,bmeTempMin,bmeTempMax,bmeHumMin,bmeHumMax,bmePresMin,bmePresMax,dsTempMin,dsTempMax,battMin,battMax,solarMin,solarMax,axMin,axMax,ayMin,ayMax,azMin,azMax,gxMin,gxMax,gyMin,gyMax,gzMin,gzMax,tempWarn,humWarn,presWarn
RUN1,9428,1.53,789,789,DARK,24.26,24.26,45.16,45.16,1007.90,1007.90,20.62,20.62,6.94,6.94,0.49,0.49,0.215,0.215,-0.642,-0.642,8.972,8.972,0.62,0.62,1.11,1.11,-1.58,-1.58,0,0,0
RUN1,11428,3.53,776,816,DARK,24.26,24.26,45.11,45.15,1007.91,1007.91,20.56,20.62,6.93,6.94,0.58,0.61,0.124,0.225,-0.680,-0.591,8.900,9.077,0.47,0.75,0.82,1.20,-1.98,-1.24,0,0,0
RUN1,13429,5.53,784,821,DARK,24.26,24.26,44.98,45.11,1007.91,1007.93,20.56,20.56,6.93,6.95,0.59,0.62,0.124,0.244,-0.709,-0.543,8.867,9.063,0.42,0.73,0.80,1.21,-1.89,-1.40,0,0,0
RUN1,15433,7.53,688,816,DARK,24.26,24.26,45.04,45.08,1007.92,1007.94,20.56,20.56,6.94,6.94,0.51,0.62,0.077,0.278,-0.687,-0.507,8.843,9.120,0.22,0.92,0.43,1.34,-1.92,-1.30,0,0,0
RUN1,17442,9.54,705,764,DARK,24.26,24.26,45.00,45.03,1007.91,1007.94,20.56,20.56,6.94,6.94,0.53,0.56,0.084,0.215,-0.689,-0.522,8.802,9.056,0.39,0.77,0.71,1.24,-2.01,-1.31,0,0,0
RUN1,19446,11.55,717,757,DARK,24.26,24.26,45.01,45.27,1007.89,1007.93,20.56,20.56,6.94,6.95,0.49,0.55,0.108,0.247,-0.668,-0.527,8.867,9.060,0.32,0.83,0.76,1.20,-2.03,-1.27,0,0,0
RUN1,21450,13.55,717,757,DARK,24.25,24.25,45.39,45.47,1007.89,1007.92,20.56,20.56,6.94,6.95,0.49,0.55,0.074,0.242,-0.665,-0.577,8.893,9.070,0.44,0.83,0.78,1.11,-1.94,-1.27,0,0,0
RUN1,23461,15.56,705,762,DARK,24.25,24.26,45.45,45.47,1007.91,1007.92,20.56,20.56,6.95,6.95,0.50,0.55,0.098,0.203,-0.663,-0.539,8.895,9.082,0.37,0.77,0.85,1.19,-2.02,-1.31,0,0,0
RUN1,24512,16.61,692,735,DARK,24.25,24.26,45.38,45.43,1007.88,1007.94,20.56,20.56,6.94,6.95,0.50,0.53,0.077,0.232,-0.649,-0.584,8.895,9.082,0.43,0.86,0.79,1.11,-2.03,-1.24,0,0,0
SUMMARY
FinalRating,NOT SUITABLE
Result,STOPPED EARLY
Reason,SOLAR WARNING TOO LONG
RunTimeSec,16.61
Avg_BME_Temp_C,24.26
Avg_DS_Temp_C,20.57
Avg_Humidity_pct,45.21
Avg_Pressure_hPa,1007.92
Avg_Battery_V,6.94
Avg_Solar_V,0.55
Avg_Light_Raw,752.99
Avg_Light_State,DARK
Avg_Ax_g,0.169
Avg_Ay_g,-0.611
Avg_Az_g,8.982
Avg_Gx_dps,0.59
Avg_Gy_dps,0.98
Avg_Gz_dps,-1.61
=== END RUN SUMMARY ===


=== RUN2 START ===
runLabel,millis,elapsedSec,lightMin,lightMax,lightState,bmeTempMin,bmeTempMax,bmeHumMin,bmeHumMax,bmePresMin,bmePresMax,dsTempMin,dsTempMax,battMin,battMax,solarMin,solarMax,axMin,axMax,ayMin,ayMax,azMin,azMax,gxMin,gxMax,gyMin,gyMax,gzMin,gzMax,tempWarn,humWarn,presWarn
